t,cpuusage,avgtasktime,maxtasktime
702,22,324,583
703,20,343,420
704,15,344,479
705,17,349,590
706,14,342,565
707,15,346,456
708,15,345,415
709,20,348,504
710,15,348,528
711,18,343,582
712,15,327,596
713,18,323,583
714,13,322,589
715,14,320,617
716,15,323,742
717,10,323,574
718,12,323,577
719,12,321,590
720,12,321,603
721,13,320,587
722,13,322,585
723,13,324,588
724,13,323,598
725,14,327,601
726,12,326,578
727,15,325,576
728,14,326,639
729,16,327,693
730,15,327,659
731,16,328,685
732,16,332,701
733,15,326,582
734,16,317,740
735,16,312,743
736,10,323,591
737,12,325,593
738,10,327,660
739,11,343,591
740,12,319,586
741,22,323,594
742,14,325,663
743,15,316,887
744,18,324,578
745,11,334,851
746,11,327,588
747,16,331,848
748,16,347,475
749,15,340,582
750,16,314,743
751,15,323,579
752,11,324,592
753,11,324,595
754,12,338,586
755,13,344,418
756,16,346,444
757,13,347,499
758,14,332,572
759,12,317,1070
760,11,344,1847
761,15,322,604
762,14,324,594
763,15,325,596
764,17,337,579
765,17,343,426
766,15,345,539
767,15,344,523
768,16,343,423
769,16,342,419
770,16,331,591
771,20,324,602
772,17,324,591
773,16,332,662
774,15,350,436
775,18,348,439
776,16,325,596
777,16,342,585
778,18,348,460
779,15,348,432
780,13,348,476
781,15,345,430
782,15,344,460
783,15,345,487
784,15,345,423
785,20,361,633
786,15,379,1314
787,18,346,576
788,15,349,459
789,15,345,503
790,16,346,487
791,16,339,438
792,15,339,441
793,16,325,597
794,17,323,599
795,13,324,581
796,12,326,832
797,13,320,585
798,12,311,977
799,13,315,606
800,15,342,590
801,15,346,482
802,14,330,581
803,15,349,610
804,12,345,466
805,12,335,576
806,13,311,593
807,12,324,595
808,13,318,903
809,15,322,590
810,13,326,674
811,10,311,872
812,13,324,895
813,17,343,430
814,15,344,455
815,15,345,487
816,18,344,414
817,16,346,630
818,17,332,572
819,15,327,582
820,12,347,470
821,18,338,584
822,14,320,590
823,17,323,588
824,12,325,588
825,17,325,598
826,12,325,591
827,13,327,598
828,13,326,603
829,14,325,602
830,12,337,593
831,16,346,426
832,15,327,589
833,15,324,585
834,18,323,652
835,16,321,577
836,15,340,580
837,18,345,583
838,13,336,960
839,10,330,588
840,11,330,592
841,15,324,872
842,12,311,641
843,13,305,601
844,13,295,593
845,13,301,592
846,12,298,600
847,13,302,602
848,13,316,918
849,13,342,882
850,16,323,580
851,16,322,576
852,15,323,585
853,17,324,582
854,14,323,577
855,15,323,589
856,15,325,587
857,16,323,582
858,17,332,582
859,13,324,590
860,14,324,590
861,13,325,647
862,12,322,582
863,13,323,589
864,13,312,870
865,13,317,743
866,15,324,585
867,12,324,598
868,11,324,609
869,11,321,865
870,12,341,591
871,11,337,579
872,14,326,601
873,16,323,671
874,16,319,899
875,16,316,580
876,20,318,599
877,19,318,595
878,17,320,578
879,11,321,595
880,11,324,731
881,12,323,592
882,12,323,638
883,11,323,586
884,12,323,587
885,13,326,659
886,12,314,746
887,12,301,757
888,12,303,900
889,12,329,878
890,16,322,583
891,15,324,648
892,14,323,588
893,16,326,667
894,17,324,613
895,18,327,597
896,17,347,576
897,18,335,595
898,19,319,588
899,15,322,602
900,16,327,676
901,21,325,688
902,16,326,622
903,19,317,889
904,18,299,878
905,16,321,705
906,13,324,668
907,9,324,621
908,14,340,584
909,14,345,499
910,13,347,561
911,14,343,455
912,13,342,575
913,14,324,897
914,15,318,891
915,16,318,732
916,12,312,600
917,13,327,595
918,15,340,644
919,15,340,570
920,15,324,660
921,15,335,583
922,14,323,598
923,15,322,604
924,13,343,583
925,14,347,436
926,14,345,432
927,14,345,416
928,13,345,424
929,13,345,466
930,16,345,491
931,14,345,514
932,13,345,464
933,15,348,471
934,15,347,503
935,13,346,502
936,14,338,590
937,14,335,592
938,13,326,668
939,16,325,591
940,15,312,604
941,19,307,732
942,17,324,632
943,17,327,594
944,14,323,589
945,19,321,585
946,14,322,596
947,19,323,589
948,14,328,633
949,17,324,600
950,16,329,610
951,16,327,869
952,18,327,877
953,14,329,592
954,16,328,586
955,16,323,596
956,15,321,605
957,16,316,1101
958,15,318,871
959,20,319,565
960,16,322,859
961,15,324,890
962,15,318,891
963,11,324,925
964,11,325,865
965,16,318,664
966,12,347,425
967,17,347,504
968,15,344,426
969,16,338,573
970,15,312,741
971,16,325,571
972,11,326,627
973,11,325,569
974,10,324,636
975,13,323,588
976,10,323,626
977,11,324,655
978,10,317,891
979,12,320,878
980,11,322,595
981,17,326,630
982,15,324,600
983,14,324,667
984,14,339,576
985,14,326,591
986,17,324,754
987,16,304,755
988,18,302,754
989,18,301,753
990,18,300,748
991,17,304,967
992,16,306,758
993,17,322,597
994,17,321,589
995,17,325,602
996,17,326,603
997,14,324,590
998,13,307,880
999,14,332,834
1000,19,329,582
1001,13,335,566
1002,15,326,582
1003,19,323,581
1004,11,345,423
1005,14,348,631
1006,11,347,495
1007,13,349,466
1008,12,355,434
1009,14,350,615
1010,15,327,580
1011,13,325,581
1012,18,330,583
1013,14,332,965
1014,14,324,587
1015,17,341,579
1016,18,341,579
1017,16,325,598
1018,14,329,594
1019,16,327,594
1020,15,324,584
1021,15,324,585
1022,15,324,586
1023,16,324,590
1024,16,323,595
1025,16,325,586
1026,16,323,592
1027,15,323,584
1028,14,323,582
1029,15,325,585
1030,15,324,582
1031,15,342,582
1032,14,339,588
1033,14,343,423
1034,17,347,507
1035,13,326,588
1036,15,324,586
1037,15,324,585
1038,14,328,585
1039,14,341,493
1040,16,346,416
1041,13,344,429
1042,11,344,434
1043,14,346,457
1044,11,346,473
1045,13,347,524
1046,13,347,574
1047,13,312,962
1048,14,300,795
1049,12,309,737
1050,12,323,587
1051,11,322,627
1052,11,320,583
1053,12,323,586
1054,11,322,592
1055,12,320,587
1056,12,319,579
1057,11,322,593
1058,16,323,587
1059,17,323,583
1060,11,327,730
1061,14,316,740
1062,18,325,570
1063,16,326,584
1064,16,326,568
1065,16,325,584
1066,15,326,593
1067,16,323,580
1068,17,320,596
1069,18,323,592
1070,17,323,704
1071,15,323,601
1072,15,323,604
1073,15,336,1473
1074,15,322,616
1075,18,323,607
1076,15,329,877
1077,12,329,674
1078,10,325,674
1079,12,322,591
1080,13,340,601
1081,12,326,584
1082,15,317,593
1083,16,304,653
1084,14,324,942
1085,16,336,612
1086,15,346,858
1087,17,322,588
1088,14,329,896
1089,17,322,588
1090,14,323,584
1091,14,324,588
1092,14,317,737
1093,16,303,740
1094,14,304,1095
1095,17,345,603
1096,16,348,476
1097,16,346,494
1098,15,343,563
1099,15,323,588
1100,14,329,582
1101,15,346,528
1102,16,345,481
1103,15,344,423
1104,15,344,419
1105,17,342,564
1106,16,322,598
1107,19,321,570
1108,15,327,623
1109,17,325,588
1110,17,335,578
1111,12,349,466
1112,12,348,447
1113,15,348,469
1114,11,347,489
1115,12,348,498
1116,12,344,467
1117,12,347,435
1118,14,337,632
1119,13,338,600
1120,14,363,1018
