t,cpuusage,avgtasktime,maxtasktime
725,14,302,584
726,18,313,568
727,12,318,607
728,13,320,571
729,12,347,913
730,18,331,699
731,12,327,579
732,12,327,582
733,12,326,586
734,13,327,581
735,12,338,580
736,15,328,673
737,14,337,850
738,12,328,667
739,11,325,845
740,13,324,593
741,11,313,592
742,11,303,593
743,13,333,576
744,15,340,606
745,12,314,856
746,13,322,595
747,14,327,612
748,16,323,649
749,16,324,699
750,18,324,599
751,17,318,748
752,17,321,710
753,20,325,622
754,15,343,578
755,13,345,457
756,14,345,502
757,14,344,432
758,14,351,617
759,16,339,606
760,18,323,580
761,14,337,575
762,17,346,478
763,15,346,424
764,14,346,543
765,15,346,558
766,16,345,460
767,15,343,423
768,15,348,457
769,16,345,424
770,16,348,610
771,15,350,612
772,14,338,872
773,15,309,881
774,17,331,1891
775,9,332,584
776,18,335,595
777,10,339,627
778,10,340,636
779,10,328,584
780,9,319,549
781,11,314,570
782,11,316,560
783,10,318,661
784,11,318,539
785,10,317,623
786,14,302,846
787,10,302,703
788,11,308,828
789,11,304,591
790,10,300,586
791,9,298,584
792,18,316,590
793,10,324,610
794,11,322,574
795,12,325,600
796,12,324,683
797,12,323,590
798,13,323,661
799,12,325,590
800,12,336,593
801,13,344,449
802,16,325,746
803,16,308,747
804,12,326,586
805,12,322,588
806,11,323,592
807,10,315,881
808,16,321,580
809,14,323,588
810,18,323,593
811,13,305,749
812,16,306,746
813,10,323,579
814,15,323,581
815,10,323,610
816,16,323,594
817,13,324,589
818,11,300,748
819,14,299,749
820,14,333,885
821,12,348,603
822,21,344,420
823,15,348,434
824,15,347,422
825,15,347,425
826,15,346,557
827,15,323,587
828,15,322,583
829,16,323,586
830,17,324,596
831,18,325,586
832,16,325,592
833,16,326,592
834,17,346,557
835,17,350,485
836,16,336,437
837,15,341,496
838,18,329,666
839,14,318,714
840,10,321,733
841,12,326,586
842,16,327,664
843,15,327,867
844,14,325,587
845,14,349,540
846,15,333,680
847,20,321,579
848,15,322,665
849,16,325,584
850,16,321,588
851,18,320,580
852,14,322,579
853,17,321,583
854,16,322,603
855,15,334,596
856,15,331,879
857,16,348,587
858,15,347,565
859,14,347,523
860,15,348,515
861,15,338,573
862,15,313,742
863,16,323,582
864,9,322,587
865,11,327,839
866,13,301,747
867,12,304,743
868,12,333,591
869,13,340,586
870,16,344,424
871,14,344,421
872,18,344,454
873,16,346,470
874,14,336,578
875,13,326,586
876,14,323,578
877,18,321,570
878,13,321,562
879,14,319,581
880,13,325,993
881,14,331,578
882,14,337,578
883,14,323,578
884,13,324,668
885,13,323,593
886,14,325,600
887,14,326,610
888,14,332,1126
889,15,327,598
890,14,329,597
891,15,329,996
892,15,324,606
893,14,317,600
894,14,320,602
895,14,321,591
896,17,332,586
897,14,345,492
898,16,341,452
899,20,350,678
900,15,373,580
901,15,354,540
902,17,316,888
903,19,323,582
904,14,332,579
905,14,344,575
906,17,346,603
907,20,345,456
908,15,347,485
909,16,343,461
910,16,323,667
911,15,319,588
912,13,320,581
913,12,324,581
914,18,304,745
915,14,307,869
916,16,315,1059
917,13,302,892
918,14,312,749
919,13,325,908
920,18,321,581
921,16,321,583
922,18,323,642
923,17,323,582
924,16,323,706
925,16,341,578
926,18,325,594
927,14,324,720
928,15,312,751
929,13,300,752
930,14,301,868
931,13,299,745
932,13,301,749
933,14,301,746
934,13,302,968
935,13,318,745
936,14,327,576
937,16,322,574
938,17,321,578
939,15,320,590
940,15,320,572
941,15,327,583
942,11,345,461
943,15,346,504
944,12,345,428
945,12,329,594
946,17,331,595
947,9,334,616
948,15,328,848
949,14,327,586
950,13,338,645
951,15,327,874
952,15,329,607
953,13,332,872
954,14,321,585
955,14,316,904
956,13,335,2044
957,12,329,690
958,15,318,990
959,16,322,888
960,13,325,590
961,16,319,888
962,17,316,871
963,13,327,637
964,10,331,745
965,17,321,580
966,13,323,695
967,12,334,1558
968,20,318,744
969,16,302,897
970,17,301,750
971,19,321,588
972,17,327,597
973,18,325,591
974,16,327,669
975,13,326,650
976,13,325,698
977,14,326,643
978,15,324,598
979,17,324,598
980,14,325,660
981,15,303,756
982,15,301,837
983,11,328,598
984,11,300,750
985,15,318,737
986,11,316,586
987,10,323,596
988,11,324,592
989,11,324,647
990,10,326,599
991,13,325,615
992,11,323,599
993,10,323,601
994,12,325,600
995,13,326,600
996,10,325,593
997,10,332,1059
998,13,347,434
999,13,345,461
1000,17,346,489
1001,12,358,962
1002,12,348,2504
1003,12,328,616
1004,11,330,653
1005,10,331,596
1006,10,326,589
1007,9,327,630
1008,10,324,596
1009,11,326,622
1010,10,331,916
1011,11,337,595
1012,10,324,591
1013,14,324,588
1014,11,324,587
1015,11,322,581
1016,15,323,574
1017,11,322,586
1018,12,321,571
1019,19,322,570
1020,12,322,582
1021,11,322,587
1022,12,322,586
1023,17,323,582
1024,15,324,663
1025,18,322,590
1026,18,322,580
1027,11,323,588
1028,13,322,580
1029,12,323,653
1030,11,320,579
1031,12,327,584
1032,13,328,628
1033,12,324,580
1034,15,318,743
1035,15,325,595
1036,13,325,587
1037,14,310,590
1038,15,303,590
1039,15,302,589
1040,15,299,587
1041,14,300,579
1042,16,300,587
1043,17,318,585
1044,14,320,574
1045,16,329,638
1046,17,338,573
1047,14,320,591
1048,12,322,588
1049,11,322,587
1050,12,323,633
1051,17,322,586
1052,12,323,652
1053,11,325,664
1054,18,320,585
1055,12,320,580
1056,11,322,587
1057,14,324,663
1058,12,321,589
1059,12,326,608
1060,11,350,554
1061,15,323,583
1062,15,323,589
1063,14,324,599
1064,13,325,604
1065,14,327,634
1066,14,327,628
1067,13,327,635
1068,15,328,645
1069,13,326,610
1070,14,323,743
1071,13,325,642
1072,14,326,585
1073,18,324,578
1074,14,323,586
1075,14,321,726
1076,14,328,1617
1077,15,300,741
1078,13,299,744
1079,12,322,880
1080,13,323,1180
1081,15,303,588
1082,18,304,590
1083,17,302,592
1084,16,302,589
1085,14,302,594
1086,17,303,647
1087,15,336,581
1088,16,346,427
1089,15,347,425
1090,16,346,418
1091,16,348,560
1092,15,345,433
1093,16,345,1068
1094,16,316,737
1095,14,319,572
1096,16,321,592
1097,13,326,645
1098,15,326,685
1099,14,324,590
1100,15,325,631
1101,14,326,767
1102,15,324,596
1103,15,318,873
1104,14,323,600
1105,13,320,740
1106,14,305,750
1107,13,310,879
1108,14,325,579
1109,18,322,572
1110,17,323,567
1111,14,323,575
1112,16,323,581
1113,17,322,580
1114,17,327,866
1115,16,320,581
1116,15,322,591
1117,17,321,584
1118,11,323,689
1119,16,325,582
1120,17,325,626
1121,22,316,596
1122,16,304,875
1123,15,305,999
1124,14,321,684
1125,17,324,660
1126,19,334,1058
1127,17,328,851
1128,18,342,1032
1129,13,347,476
1130,12,344,470
1131,11,347,542
1132,12,344,512
1133,14,356,1191
1134,12,347,514
1135,14,350,519
1136,14,341,577
1137,13,327,645
1138,14,341,583
1139,16,321,746
1140,18,324,570
1141,15,329,861
1142,18,298,1070
1143,19,303,598
1144,14,306,666
1145,14,302,594
1146,15,301,593
1147,16,301,667
1148,14,303,591
1149,15,319,588
1150,13,325,593
1151,16,325,590
1152,15,325,588
1153,16,324,641
1154,16,322,581
1155,13,313,878
1156,17,323,579
1157,13,323,584
1158,15,324,585
1159,12,324,586
1160,12,324,580
1161,12,324,587
1162,15,339,587
1163,11,338,575
1164,20,327,587
1165,11,325,586
1166,12,326,680
1167,18,314,753
1168,13,303,832
1169,11,318,746
1170,13,325,579
1171,16,325,667
1172,11,330,933
1173,12,325,587
1174,12,327,885
1175,11,330,892
1176,14,325,585
1177,17,325,659
1178,18,321,582
1179,15,318,591
1180,17,320,590
1181,16,321,607
1182,15,310,759
1183,16,305,845
1184,19,318,1022
1185,17,304,885
1186,18,301,759
1187,17,303,856
1188,19,313,1697
1189,16,336,2178
1190,14,320,632
1191,18,321,580
1192,14,321,582
1193,17,323,617
1194,18,315,735
1195,17,312,589
1196,11,325,591
1197,13,323,583
1198,11,322,579
1199,17,327,578
1200,11,353,642
1201,12,352,627
1202,15,345,485
1203,15,330,592
1204,17,341,565
1205,16,344,418
1206,13,346,463
1207,12,344,416
1208,11,343,417
1209,12,346,513
1210,12,344,418
1211,11,345,418
1212,17,346,456
1213,11,345,425
1214,16,328,660
1215,14,327,712
1216,14,327,672
1217,13,324,596
1218,13,325,597
1219,13,326,592
1220,18,325,603
1221,12,327,631
1222,12,323,902
1223,12,321,586
1224,17,321,584
1225,18,322,659
1226,17,326,588
1227,18,337,584
1228,15,325,590
1229,16,311,665
1230,17,308,649
1231,16,301,635
1232,16,299,592
1233,16,295,598
1234,15,297,630
1235,16,321,589
1236,16,325,632
1237,13,328,582
1238,20,323,846
1239,12,308,1096
1240,11,324,702
1241,10,324,595
1242,11,322,643
1243,10,320,633
1244,10,322,586
1245,10,319,587
1246,10,323,586
1247,10,324,590
1248,11,321,837
1249,10,334,1118
